feature,importance
hr,59.128826131303256
hour_cos,26.85921826951426
workingday,25.96277798632766
is_rush_hour,21.676841568166985
temp,20.90967108356934
is_commute_window,19.157575281069814
hour_sin,10.170134187479093
hum,7.517886303329876
season_label,5.622399765052333
is_weekend,5.583757251918885
weathersit,5.058692596524528
atemp,4.002955641231608
weekday,2.9091729855410393
day_type,1.8109702061203379
hour_band,1.2501334574464849
weekday_name,0.8637908082101958
month_cos,0.7578828578543281
windspeed,0.4067877511068346
weather_label,0.3624840966489643
holiday,0.23113484640192752
feels_temp_gap,0.22901002031009482
mnth,0.14433458877207528
month_sin,0.12520568588556244
yr,0.0
weather_severity,0.0
weather_group,0.0
temp_band,-0.07044104804622578
