target,model,MAE,RMSE,R2
casual,Histogram gradient boosting,9.792689075770518,17.8832397427249,0.8625271818760338
casual,Random forest,10.640334608183434,20.049097550382985,0.8272117938200562
casual,Ridge regression,21.671078867721825,33.45171475800285,0.5189821332830644
casual,Linear regression,21.673386059760585,33.452495863967926,0.5189596692441136
casual,Baseline mean,32.60517011504347,48.44248474902361,-0.008735396581437849
cnt,Histogram gradient boosting,40.56205443445576,65.34717676681392,0.894916852381508
cnt,Random forest,46.30973066461777,70.83260690304307,0.8765344299265646
cnt,Linear regression,97.40433740161352,130.3262704207784,0.5820316961819929
cnt,Ridge regression,97.40046130436735,130.3282206490797,0.5820191869662924
cnt,Baseline mean,156.8680233230904,204.42834470283236,-0.028398983450854676
registered,Histogram gradient boosting,34.750985599283105,56.611959598688685,0.8962641413234544
registered,Random forest,39.75089018613869,62.57742789191019,0.8732500061408146
registered,Linear regression,86.46599502331844,116.63186830168202,0.5597017136634246
registered,Ridge regression,86.46393831592965,116.6348804722692,0.5596789708111816
registered,Baseline mean,132.76280432615647,179.9322036542251,-0.04792530514302262
